update,update_time,weights,cosine
0,0,-0.0_-5.832118435198043_-11.664236870396087_-99.14601339836673,2.0
1,0.1466793879999999,24.408_18.570881564801958_12.739763129603913_-74.71401339836673,1.8745678765563163
2,0.24209473999999975,46.574_40.72488156480196_34.91476312960391_-52.55801339836673,1.5167154953113586
3,0.35492887900000003,46.622_40.76888156480196_34.94676312960391_-52.44801339836673,1.515451517374135
4,0.4684819149999999,46.633_40.77988156480196_34.95576312960391_-52.420013398366734,1.5151308820478568
5,0.6211161340000002,46.635000000000005_40.78088156480196_34.95876312960391_-52.414013398366734,1.5150639234649388
6,0.7795081040000005,46.64300000000001_40.78288156480196_34.95976312960391_-52.38101339836673,1.5147727268530025
7,0.900447936,46.40500000000001_40.543881564801964_34.347763129603905_-52.289013398366734,1.5178213936896774
8,1.01266431,46.47700000000001_40.52088156480196_34.396763129603904_-52.12201339836673,1.5161955916886276
9,1.1516701860000005,46.17900000000001_40.22188156480196_33.7297631296039_-52.020013398366736,1.5197794101619793
10,1.2918502649999999,45.99300000000001_40.03588156480196_33.4127631296039_-51.94801339836673,1.5216027085813106
11,1.431689563,46.01800000000001_40.05688156480196_33.429763129603906_-51.87201339836673,1.5207934139857249
12,1.5732982810000005,45.95400000000001_39.95888156480196_33.27076312960391_-51.56201339836673,1.519480098421555
13,1.7093947329999999,45.952000000000005_39.95688156480196_33.26476312960391_-51.56001339836673,1.5194995919693497
14,1.869112447,45.96900000000001_39.96488156480196_33.26376312960391_-51.41101339836673,1.5182448153167187
15,2.0351557700000003,46.03600000000001_39.936881564801965_33.30876312960391_-51.24601339836673,1.5166558397367487
16,3.5885709709999993,46.071000000000005_39.963881564801966_33.28876312960391_-51.085013398366726,1.5152451295485116
17,3.724571097,46.06700000000001_39.95888156480196_33.28776312960391_-51.06501339836672,1.5151196009167274
18,3.853994709,46.047000000000004_39.93588156480196_33.25176312960391_-51.021013398366726,1.5150440736558861
19,3.9916332430000008,46.07000000000001_39.95788156480196_33.258763129603906_-50.970013398366724,1.5144626433431414
20,4.142672572,46.065000000000005_39.94788156480196_33.243763129603906_-50.93801339836673,1.51431268375114
21,4.260239883000001,46.069_39.94688156480196_33.243763129603906_-50.90401339836673,1.5140319487528777
22,7.566513339,46.137_39.92388156480196_33.28876312960391_-50.74501339836673,1.5124577668240307
23,7.713529436,46.191_39.96888156480196_33.313763129603906_-50.55401339836673,1.510506689430703
24,7.956747234,46.187000000000005_39.96188156480196_33.30976312960391_-50.55001339836673,1.5105259667843862
25,8.103030721,45.92_39.68488156480196_32.694763129603906_-50.43901339836673,1.5136994001654374
26,8.240205427,45.642_39.406881564801964_32.02076312960391_-50.33801339836673,1.5172380880951726
27,8.387446192,45.655_39.41688156480196_32.024763129603905_-50.295013398366734,1.516798392312288
28,8.55074172,45.657000000000004_39.41188156480196_32.0437631296039_-50.26801339836673,1.5165214485734562
29,8.717387107,45.636_39.37088156480196_31.9987631296039_-50.151013398366736,1.5159536306761057
30,8.924558225,45.631_39.34788156480196_31.9597631296039_-50.02501339836674,1.5151727829766106
31,9.066221177000001,45.65_39.35588156480196_31.9527631296039_-49.910013398366736,1.51417314710493
32,9.193539525,45.604_39.22788156480196_31.8627631296039_-49.74801339836674,1.513786706742228
33,9.312466136,45.253_38.78988156480196_31.3337631296039_-49.660013398366736,1.5177435955896732
34,9.42723629,44.934_38.40688156480196_30.8017631296039_-49.435013398366735,1.5203284380725997
35,9.717548816,44.931_38.39988156480196_30.800763129603897_-49.417013398366734,1.5202197428974527
36,9.828331286000001,44.939_38.40288156480196_30.802763129603896_-49.36001339836673,1.5197057650450003
37,9.966803058,44.919_38.37888156480196_30.764763129603896_-49.32901339836673,1.519747074877259
38,10.093142363,44.526999999999994_37.93688156480196_30.149763129603897_-49.10501339836674,1.5231521115387667
