update,update_time,weights,cosine
0,0,-0.0_-5.832118435198043_-11.664236870396087_-99.14601339836673,2.0
1,0.19821105800000005,24.408_18.570881564801958_12.739763129603913_-74.71401339836673,1.8745678765563163
2,0.34100239499999985,46.574_40.72488156480196_34.91476312960391_-52.55801339836673,1.5167154953113586
3,0.49892389299999973,46.622_40.76888156480196_34.94676312960391_-52.44801339836673,1.515451517374135
4,0.6571424260000001,46.633_40.77988156480196_34.95576312960391_-52.420013398366734,1.5151308820478568
5,0.8538135609999999,46.635000000000005_40.78088156480196_34.95876312960391_-52.414013398366734,1.5150639234649388
6,1.058320598,46.64300000000001_40.78288156480196_34.95976312960391_-52.38101339836673,1.5147727268530025
7,1.1917070289999998,46.40500000000001_40.543881564801964_34.347763129603905_-52.289013398366734,1.5178213936896774
8,1.3300399269999996,46.47700000000001_40.52088156480196_34.396763129603904_-52.12201339836673,1.5161955916886276
9,1.4836239339999997,46.180000000000014_40.22288156480196_33.737763129603906_-52.02101339836673,1.5197514666898426
10,1.6333134349999998,46.00100000000001_40.04388156480196_33.429763129603906_-51.94601339836673,1.5214718630292845
11,1.7670145650000002,46.02900000000001_40.06788156480196_33.44976312960391_-51.86401339836673,1.5205847316379937
12,1.9187051899999998,45.96700000000001_39.97388156480196_33.28776312960391_-51.55001339836673,1.5192299514428935
13,2.0921619839999996,45.96400000000001_39.97088156480196_33.28076312960391_-51.54901339836673,1.5192676217454504
14,2.236973558,46.00200000000001_39.998881564801955_33.29876312960391_-51.37801339836673,1.5176330378476506
15,2.4001237829999997,46.06900000000001_39.97088156480196_33.343763129603914_-51.21301339836673,1.5160434689074318
16,2.7138081019999998,46.104000000000006_39.99788156480196_33.32376312960391_-51.05201339836673,1.5146320953151147
17,2.8642546199999996,46.108000000000004_39.995881564801955_33.33076312960391_-51.02401339836673,1.5143776203806314
18,3.0235261390000003,46.087_39.971881564801954_33.29276312960391_-50.981013398366734,1.5143234816422655
19,3.1688863759999997,46.108000000000004_39.99188156480196_33.29876312960391_-50.932013398366735,1.5137748056347449
20,3.3583483540000003,46.11600000000001_39.99488156480196_33.294763129603915_-50.886013398366735,1.5133863091634558
21,3.50981513,46.123000000000005_39.99688156480196_33.297763129603915_-50.846013398366736,1.5130264964821167
22,4.360813284,46.11900000000001_39.99288156480196_33.30176312960391_-50.83801339836673,1.5129744360490993
23,4.553582549,46.187000000000005_39.96988156480196_33.346763129603914_-50.679013398366735,1.5113990312089172
24,4.704022303,46.239000000000004_40.01288156480196_33.367763129603915_-50.48501339836673,1.5094503030290911
25,5.016227328,46.234_40.004881564801956_33.36276312960391_-50.48201339836673,1.5094877924206345
26,5.1576164140000005,45.957_39.71788156480196_32.736763129603915_-50.380013398366735,1.512835635996932
27,5.293196342999999,45.679_39.43988156480196_32.062763129603916_-50.279013398366736,1.5163698767062308
28,5.459202058,45.678000000000004_39.43588156480196_32.053763129603915_-50.24501339836674,1.5161455140304954
29,5.635852846,45.68000000000001_39.43088156480196_32.07276312960391_-50.218013398366736,1.5158683663111152
30,5.763101988,45.659000000000006_39.38988156480196_32.02776312960391_-50.10101339836674,1.515299408360927
31,5.980687423,45.654_39.36888156480196_31.98876312960391_-49.977013398366736,1.5145266529116659
32,6.146406599,45.691_39.39488156480196_31.99676312960391_-49.840013398366736,1.5131693842470595
33,6.268244454,45.645_39.26688156480196_31.90676312960391_-49.67801339836674,1.512780189579238
34,6.397893756999999,45.294000000000004_38.82888156480196_31.37776312960391_-49.590013398366736,1.5167314241880443
35,6.5445288679999996,44.96_38.42988156480196_30.82876312960391_-49.380013398366735,1.5196046353912125
36,6.76960213,44.957_38.42288156480196_30.82776312960391_-49.362013398366734,1.5194957465958314
37,6.910917722,44.973_38.433881564801965_30.835763129603908_-49.29701339836674,1.5188370655133583
38,7.099969110999999,44.954_38.411881564801966_30.79876312960391_-49.26201339836674,1.5188305270621898
39,7.236380709,44.562_37.969881564801966_30.18376312960391_-49.03801339836674,1.5222288177130863
40,7.405447894000001,44.579_37.98488156480197_30.20076312960391_-49.00001339836675,1.5217369264158007
41,7.558202688000001,44.619_38.02388156480197_30.22376312960391_-48.92001339836675,1.5207072455026658
42,7.723895446999999,44.656_38.04888156480197_30.23576312960391_-48.74701339836675,1.5190058755621334
43,7.939560591,44.656_38.049881564801964_30.23476312960391_-48.745013398366744,1.5189893326158268
44,8.149621852,44.632999999999996_38.02288156480196_30.204763129603908_-48.720013398366746,1.519071373272231
45,8.279613947000001,44.647999999999996_38.02588156480196_30.192763129603907_-48.57601339836675,1.5178525187667171
46,8.423598038000002,44.70399999999999_38.070881564801965_30.220763129603906_-48.427013398366746,1.5161439577020293
47,8.585010084,44.75699999999999_38.085881564801966_30.202763129603905_-47.94401339836675,1.5119072358888137
48,8.736527537,44.76499999999999_38.092881564801964_30.203763129603907_-47.92201339836675,1.511664301696976
49,8.949666509,44.76499999999999_38.092881564801964_30.201763129603908_-47.92101339836675,1.5116633316982204
50,9.117159971,44.77499999999999_38.092881564801964_30.21476312960391_-47.890013398366754,1.5113177088744036
51,9.250561816000001,44.85799999999999_38.14588156480196_30.21176312960391_-47.454013398366754,1.5071415410518325
52,9.402898486000002,44.86699999999999_38.13788156480196_30.181763129603908_-47.31501339836675,1.5060624772875102
53,9.556762699,44.892999999999994_38.16188156480196_30.19076312960391_-47.23501339836675,1.505166327962396
54,9.686857092,44.86399999999999_38.03088156480196_30.116763129603907_-47.033013398366755,1.5042814697522569
55,9.818799689999999,44.86899999999999_38.02388156480196_30.086763129603906_-46.89401339836675,1.503202444213175
56,9.989642320000002,44.87199999999999_38.02788156480196_30.087763129603907_-46.887013398366754,1.503113334460811
57,10.135037782000001,44.53099999999999_37.59288156480196_29.566763129603906_-46.795013398366756,1.5070482075552711
58,10.307067737,44.56099999999999_37.608881564801955_29.119763129603907_-46.32101339836676,1.5044411104431852
59,10.448227545999998,44.556999999999995_37.60088156480195_29.106763129603905_-46.27901339836676,1.5041661440850924
60,10.622788832000001,44.553999999999995_37.59288156480195_29.103763129603905_-46.255013398366756,1.5040074356883806
61,10.765495843,44.568999999999996_37.60588156480195_29.113763129603907_-46.219013398366755,1.503553716951357
62,10.940368590999999,44.565_37.59888156480195_29.102763129603908_-46.207013398366755,1.503529803836209
63,11.088833152,44.568_37.59788156480195_29.08676312960391_-46.149013398366755,1.5030743716628927
64,11.231680748999999,44.525_37.550881564801955_29.03276312960391_-46.09501339836675,1.5031283402224007
65,11.388066292000001,44.510999999999996_37.53088156480195_28.533763129603912_-45.69901339836675,1.5016315696858766
66,11.591287900000001,44.50599999999999_37.523881564801954_28.528763129603913_-45.698013398366754,1.5016852772212936
67,11.858408732000001,44.50599999999999_37.523881564801954_28.527763129603912_-45.695013398366754,1.5016624543945638
68,12.046999187,44.501999999999995_37.516881564801956_28.51276312960391_-45.66001339836676,1.5014488492560334
69,12.230825743,44.38699999999999_37.39688156480196_28.315763129603912_-45.582013398366755,1.5023532232496213
70,12.336624045,44.38799999999999_37.397881564801956_28.315763129603912_-45.57801339836676,1.502310396319023
71,12.472969244000002,44.39199999999999_37.39388156480196_28.292763129603912_-45.451013398366754,1.5012683125518356
72,12.678712182999998,44.42799999999999_37.41988156480196_28.28876312960391_-45.283013398366755,1.4995594845828717
73,12.931665678000002,44.43399999999999_37.42588156480196_28.28876312960391_-45.268013398366755,1.499381637141758
74,13.158069738000002,44.39199999999999_37.36488156480196_28.24176312960391_-45.20801339836675,1.4993996738250075
75,13.322450539000002,44.39899999999999_37.369881564801965_28.24376312960391_-45.164013398366755,1.4989546199913257
76,13.508410133000002,44.40499999999999_37.360881564801964_28.21576312960391_-44.99501339836676,1.4975559898749693
77,13.639668607,44.368999999999986_37.22788156480196_28.13476312960391_-44.80201339836676,1.4967494458932638
78,13.797084027,44.39599999999999_37.22888156480196_28.07676312960391_-44.46001339836676,1.4937704323483842
79,13.941235668000001,43.99299999999999_36.824881564801956_27.484763129603913_-44.36601339836676,1.498126279345442
80,14.108069098000001,44.01099999999999_36.837881564801954_27.47776312960391_-44.29101339836676,1.4973540223182324
81,14.276788955,44.03399999999999_36.85188156480196_27.48976312960391_-44.19601339836676,1.4963042130943984
82,14.428943817,44.04699999999999_36.86088156480196_27.49176312960391_-44.12901339836676,1.4956023163892773
83,14.589529174000003,44.05699999999999_36.86388156480196_27.49076312960391_-44.03701339836676,1.494715402204874
84,15.375562075000001,44.06199999999999_36.86888156480196_27.49576312960391_-44.02401339836676,1.4945401373335132
85,15.553873645,43.71899999999999_36.43488156480196_26.98176312960391_-43.93801339836676,1.498610950409264
86,15.69760523,43.70599999999999_36.41688156480196_26.96276312960391_-43.89701339836677,1.498423169869799
87,16.064354171,43.743999999999986_36.42688156480196_26.94276312960391_-43.45101339836677,1.4941962318982325
88,16.25004603,43.73299999999998_36.39488156480196_26.885763129603912_-43.26101339836677,1.4928075957607783
89,16.384804674,43.75199999999998_36.408881564801966_26.86776312960391_-43.11401339836677,1.491378811314444
90,16.529707871,43.75099999999998_36.40188156480197_26.83776312960391_-42.99601339836677,1.4904179325424187
91,16.675049901,43.801999999999985_36.43788156480197_26.85576312960391_-42.84101339836677,1.4885672770814293
92,16.871843545,43.79799999999999_36.43388156480197_26.84576312960391_-42.83901339836677,1.4886164716592782
93,17.065998163,43.79699999999999_36.432881564801974_26.84476312960391_-42.83801339836677,1.4886183782244344
94,17.207392877,43.44699999999999_35.99488156480197_26.317763129603907_-42.74601339836677,1.4927493340023896
