instance_id,n_sols
79,2
197,4
38,3
24,2
122,3
195,2
29,2
19,3
143,3
86,4
114,3
173,2
5,1
126,2
117,1
73,2
140,1
98,3
172,3
96,1
169,2
97,3
31,2
12,3
35,1
119,2
42,3
189,3
90,2
136,1
51,1
127,2
162,2
41,1
118,2
113,2
26,1
139,2
100,3
111,2
2,3
77,2
46,2
187,2
191,2
85,2
161,2
36,2
190,1
61,1
22,2
141,2
101,3
33,2
11,2
194,2
159,2
6,2
27,3
120,2
4,2
32,2
142,2
145,2
109,2
144,2
10,2
62,2
112,2
146,2
166,2
0,2
198,3
153,1
70,2
123,2
64,1
44,2
163,1
28,2
40,2
108,1
155,2
156,2
25,2
23,2
184,1
147,1
81,2
39,2
168,2
47,3
94,2
154,2
43,3
138,2
3,3
105,2
53,3
133,3
180,2
178,1
185,1
49,3
80,1
34,2
7,3
110,1
91,3
83,3
176,2
181,3
89,2
8,2
13,2
59,3
171,3
131,3
17,1
72,2
175,1
134,2
167,2
183,3
63,2
54,3
107,1
50,2
196,3
58,3
48,1
88,1
21,2
57,3
160,2
192,2
129,1
37,1
157,2
193,2
1,3
52,2
149,3
130,2
151,3
103,2
99,2
116,2
87,2
74,3
121,3
199,2
20,3
188,2
71,2
106,1
14,2
92,1
179,1
102,2
