dataset_path,size,solver,inf_time_limit,n_inf_jobs,learner,n_epochs,n_epoch_jobs,regularization,learning_rate,max_inference,cache_strategy,n_inference,inference_time,total_run_time,train_score,test_score,predicted_weights
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,64.32548476400002,69.86,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,11.176804948999981,69.51,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,LS,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,10.876001841,79.62,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,64.08450200500008,69.76,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,10.836953001000017,70.09,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,10.94731383400001,79.16,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,63.320842620000114,63.54,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,65.88763562199996,66.12,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,63.63396029799996,63.85,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,64.31181893000019,70.02,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,11.841349106999965,81.94,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,11.17920208499999,83.44,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,64.28352430699972,64.5,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,63.6521693249999,69.19,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,11.603945149999998,88.2,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,10.990760922000026,79.94,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,11.03950175699997,83.6,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,65.59397498100002,71.26,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,11.525349035999996,73.21,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,11.46227426900002,87.46,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,61.75142280599992,61.97,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,61.545223198999956,66.91,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,10.997653131000039,71.77,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,11.10587710299998,82.04,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,61.6204083219999,61.83,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,61.76099877600012,66.97,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,10.989540270999985,72.01,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,10.991359143999992,81.93,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,64.46396935599991,64.68,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,61.87304903800004,67.13,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,10.910827987999971,74.29,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,10.935100452999993,82.41,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,61.683852244999976,61.89,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,69.38956454300009,75.42,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,11.93361865199998,77.21,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,11.042496550999985,95.13,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,69.0322628799998,69.27,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,66.86603897700022,72.54,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,11.89375146199999,77.75,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,11.426691729999977,88.39,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,65.32149545999994,65.55,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,64.76165852699992,70.35,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,533,11.179991380000006,75.99,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,533,11.340862142999978,85.27,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,65.30466375199988,65.53,93.47,93.97,0.736+1.368+0.425+0.946
dataset_t60_s50.csv,5,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,64.2093533649998,69.74,93.47,93.97,0.736+1.368+0.425+0.946
