dataset_path,size,solver,inf_time_limit,n_inf_jobs,learner,n_epochs,n_epoch_jobs,regularization,learning_rate,max_inference,cache_strategy,n_inference,inference_time,total_run_time,train_score,test_score,predicted_weights
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,336.22403222299994,336.48,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,323.25894579100094,329.55,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,3026,336.28359779999965,496.48,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,2818,305.5033422759993,494.92,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,332.9363594539994,333.18,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,328.53431401300145,334.9,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,3026,353.0690629759985,518.74,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,2818,317.01105471900047,514.77,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,327.54959876399977,327.79,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,329.1269241540006,335.68,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,3026,330.966931456998,492.32,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,2818,313.6359446090008,508.21,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,335.7939899549995,336.05,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,326.2528575969994,332.53,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,3026,323.73051628599865,476.94,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,2818,301.3704694989982,493.38,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,328.12328883000043,328.37,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,335.37244942499996,341.93,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,3026,324.42736970100043,476.9,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,2818,292.56541823199944,471.53,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,330.42065813800053,330.67,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,315.0849960239996,321.19,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching2,3026,341.46196846500004,490.58,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching3,2818,301.2340038180016,489.86,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-1,None,3200,346.91445093900086,347.18,81.22,75.68,1.001+2.124+6.055+1.572+7.659
cp_training_t60_s10.csv,10,CP,-1,1,STRUCT_PERC_FIXED,20,0,0,0.001,-500,ArmotizedCaching1,3200,357.3027418049993,364.49,81.22,75.68,1.001+2.124+6.055+1.572+7.659
